content,catile
"I build a house.
I build a horse.
I build a plane.
I build a duck.
I build a tree.
I build a maze.
I build a boat.
I build a castle.",-53.0
"I meet my brother.
I hold my brother.
I hear my brother.
I feed my brother.
I rock my brother.
I help my brother.
I kiss my brother.
I love my brother.",-52.0
"These shoes are blue.
These shoes are red.
These shoes are wet.
These shoes are old.
These shoes are big.
These shoes are shiny.
These shoes are tall.
These shoes are funny!",-73.0
"I count one sheep.
I count two sheep.
I count three sheep.
I count four sheep.
I count five sheep.
I count six sheep.
I count seven sheep.
I count many sheep!",-93.0
"This is my eye.
This is my eyebrow.
This is my ear.
This is my cheek.
This is my nose.
This is my mouth.
This is my chin.
This is my face.",-51.0
"The big cat plays.
The big cat hides.
The big cat eats.
The big cat looks.
The big cat climbs.
The big cat runs.
The big cat cleans.
The big cat sleeps.",-57.0
"Animals live here.
A bear lives here.
A deer lives here.
A fish lives here.
A frog lives here.
A worm lives here.
A bee lives here.
A child lives here.",-60.0
"The cat jumps over.
The dog jumps over.
The horse jumps over.
The fox jumps over.
The deer jumps over.
The goat jumps over.
The girl jumps over.
The cow jumps over.",-72.0
"Over the log.
Over the pot.
Over the hole.
Over the bike.
Over the bat.
Over the ball.
Over the doll.
Over the cat.",-95.0
"Carlos and his teacher talk.
Carlos and his teacher write.
Carlos and his teacher read.
Carlos and his teacher add.
Carlos and his teacher share.
Carlos and his teacher paint.
Carlos and his teacher clean.
Carlos and his teacher play.",-41.0
"Maria and her teacher talk.
Maria and her teacher write.
Maria and her teacher read.
Maria and her teacher add.
Maria and her teacher smile.
Maria and her teacher paint.
Maria and her teacher clean.
Maria and her teacher play.",-68.0
"The hamster has a ball.
The hamster has a cage.
The hamster has food.
The hamster has water.
The hamster has a nest.
The hamster has a tube.
The hamster has a wheel.
The hamster has a home.",-70.0
"This is up.
This is down.
This is on.
This is off.
This is open.
This is closed.
This is fast.
This is slow.",-158.0
"Some athletes run.
Some athletes jump.
Some athletes swim.
Some athletes dive.
Some athletes throw.
Some athletes ride.
Some athletes row.
Some athletes win!",-34.0
"I love the ships.
I love the sails.
I love the parrots.
I love the songs.
I love the gold.
I love the flags.
I love the ropes.
I love the sea.",-51.0
"One bug.
Two bugs.
Three bugs.
Four bugs.
Five bugs.
Six bugs.
Seven bugs.
So many bugs!",7.0
"Her voice.
Her help.
Her hug.
Her wave.
Her smile.
Her eyes.
Her tuck.
Her love.",-48.0
"The head.
The body.
One leg.
Two legs.
Three legs.
Four legs.
Five legs.
Six legs.",-67.0
"The smile.
The hug.
The pat.
The card.
The gift.
The kiss.
The wink.
The lick.",-69.0
"This boat carries people.
This boat carries police.
This boat carries food.
This boat carries logs.
This boat carries trash.
This boat carries cars.
This boat carries planes.
This boat carries boats.",-61.0
"A sock is under my bed.
A block is under my bed.
A book is under my bed.
A toy is under my bed.
A hat is under my bed.
A bat is under my bed.
A cat is under my bed.
I am under my bed!",-47.0
"This is a kitten.
This is a puppy.
This is a chick.
This is a cub.
This is a calf.
This is a kid.
This is a lamb.
This is a foal.",-65.0
"You float on the water.
You sail on the water.
You paddle on the water.
You fish in the water.
You dive in the water.
You swim in the water.
You splash in the water.
You play in the water.",-41.0
"I can run.
I can jump.
I can swing.
I can hop.
I can ride.
I can climb.
I can crawl.
I can play.",-41.0
"Mom and I are lions.
Mom and I are elephants.
Mom and I are giraffes.
Mom and I are zebras.
Mom and I are bears.
Mom and I are apes.
Mom and I are kangaroos.
Mom and I are dolphins.",-8.0
"This toy bounces.
This toy rolls.
This toy spins.
This toy dumps.
This toy flies.
This toy sprays.
This toy floats.
This toy falls.",-12.0
"Muscles help me run.
Muscles help me push.
Muscles help me jump.
Muscles help me lift.
Muscles help me stretch.
Muscles help me pull.
Muscles help me kick.
Muscles help me smile.",-28.0
"Now we shop.
Now we mix.
Now we pour.
Now we bake.
Now we wait.
Now we frost.
Now we serve.
Now we eat!",-54.0
"One black stage.
One black sheet.
One black suit.
One black tie.
One black cape.
One black hat.
One black wand.
One black rabbit.",-59.0
"The day.
The bowl.
The box.
The paper.
The bow.
The gift.
The smile.
The hug.",-51.0
"Two bees.
Two fish.
Two birds.
Two cats.
Two dogs.
Two cows.
Two horses.
Two kids.",-24.0
"The white snow.
The white flowers.
The white fox.
The white whale.
The white seal.
The white eggs.
The white owl.
The white igloo.",-59.0
"Bonkers likes to bark.
Bonkers likes to bark at cars.
Bonkers likes to bark at cats.
Bonkers likes to bark at bikes.
Bonkers likes to bark at squirrels.
Bonkers likes to bark at kids.
Bonkers likes to bark at birds.
Bonkers likes to bark at Bonkers!",13.0
"This face is happy.
This face is sad.
This face is sorry.
This face is excited.
This face is scared.
This face is shy.
This face is mad.
This face is sleepy.",13.0
"The bird goes over the tree.
The bird goes over the farm.
The bird goes over the city.
The bird goes over the street.
The bird goes over the tables.
The bird goes over the cars.
The bird goes over the mountains.
The bird goes home.",6.0
"Dad and I bake.
Dad and I swim.
Dad and I garden.
Dad and I play.
Dad and I bike.
Dad and I walk.
Dad and I write.
Dad and I hug.",-37.0
"He runs to the bus.
He runs to the train.
He runs to the boat.
He runs to the plane.
He runs to the school.
He runs to the store.
He runs to the pool.
He runs home.",-28.0
"This rabbit is big.
This rabbit is small.
This rabbit is black.
This rabbit is white.
This rabbit is fluffy.
This rabbit is tall.
This rabbit is short.
This rabbit is fast.",-46.0
"We see the mall.
We see the doors.
We see the stores.
We see the people.
We see the workers.
We see the bags.
We see the food.
We see the toys!",-48.0
"Find the eggs.
Collect the eggs.
Carry the eggs.
Count the eggs.
Clean the eggs.
Crack the eggs.
Cook the eggs.
Eat the eggs.",-66.0
"We can clap.
We can snap.
We can pop.
We can tap.
We can rap.
We can slap.
We can stomp.
We can make sounds.",-27.0
"Write with a stick.
Write with a crayon.
Write with a marker.
Write with a brush.
Write with a pencil.
Write with a pen.
Write with a finger.
Write with a computer.",-18.0
"This swimsuit.
This dock.
This boat.
This tree.
This fish.
This rock.
This frog.
This lake.",-33.0
"The walk.
The bench.
The bus.
The door.
The steps.
The seat.
The window.
The school.",-43.0
"Nine cows.
Nine horses.
Nine pigs.
Nine bulls.
Nine goats.
Nine chickens.
Nine sheep.
Nine geese.",14.0
"On the house.
On the bike.
On the swing.
On the bed.
On the airplane.
On the fence.
On the table.
On the skates.",-34.0
"The bus.
The kids.
The games.
The art.
The lunch.
The lake.
The songs.
The camp.",-45.0
"These doves.
These hawks.
These crows.
These owls.
These eagles.
These geese.
These turkeys.
These birds.",-9.0
"The blocks.
The bear.
The paint.
The drum.
The plane.
The wagon.
The kite.
The robot.",-28.0
"Under the chair.
Under the desk.
Under the table.
Under the bed.
Under the pillow.
Under the umbrella.
Under the swing.
Under the tree.",-34.0
"I read all by myself.
I color all by myself.
I sing all by myself.
I play all by myself.
I build all by myself.
I listen all by myself.
I dress all by myself.
I think all by myself.",-46.0
"Some bridges are big.
Some bridges are small.
Some bridges are old.
Some bridges are new.
Some bridges are made from wood.
Some bridges are made from stone.
Some bridges are made from metal.
Some bridges are made from rope!",-29.0
"There are plants in the pond.
There are fish in the pond.
There are snails in the pond.
There are bugs in the pond.
There are ducks in the pond.
There are turtles in the pond.
There are beavers in the pond.
There are boys in the pond.",-18.0
"I see the clouds.
I see the rain.
I see the lightning.
I see the horse.
I see the puddle.
I see the mud.
I see the rainbow.
I see the Sun.",-48.0
"I feed my new dog.
I walk my new dog.
I wash my new dog.
I dry my new dog.
I brush my new dog.
I pet my new dog.
I love my new dog.
My new dog loves me!",-20.0
"This one is for Mom.
This one is for Dad.
This one is for Noah.
This one is for Granny.
This one is for Pappy.
This one is for Spot.
This one is for Mittens.
This one is for you!",-18.0
"I see blue.
I see green.
I see purple.
I see brown.
I see pink.
I see red.
I see orange.
I see gold.",-33.0
"I put the cloth here.
I put the plate here.
I put the napkin here.
I put the fork here.
I put the knife here.
I put the spoon here.
I put the glass here.
I put the flowers here.",-37.0
"Comics make me laugh.
Babies make me laugh.
Toys make me laugh.
Pets make me laugh.
Clowns make me laugh.
Friends make me laugh.
Tickles make me laugh.
Laughs make me laugh!",-5.0
"This is my foot.
This is my leg.
This is my belly.
This is my chest.
This is my hand.
This is my arm.
This is my head.
This is my body.",-52.0
"This egg is plain.
This egg is fancy.
This egg is sunny.
This egg is stormy.
This egg is starry.
This egg is spooky.
This egg is silly.
This egg is yummy.",-23.0
"This is a tree.
This is a squirrel.
This is a rabbit.
This is a deer.
This is a fox.
This is a mushroom.
This is a stream.
This is a forest.",-28.0
"I see the Sun.
I see the sky.
I see the clouds.
I see the rain.
I see the lightning.
I see the puddle.
I see the rainbow.
I see the Sun.",-55.0
"This is my pumpkin.
This is my hat.
This is my jacket.
This is my brother.
This is my dog.
This is my bucket.
This is my candy.
This is my Halloween!",-27.0
"This looks so shiny.
This looks so dark.
This looks so pretty.
This looks so ugly.
This looks so neat.
This looks so dirty.
This looks so wild.
This looks so funny.",-31.0
"This sounds so noisy.
This sounds so quiet.
This sounds so squeaky.
This sounds so loud.
This sounds so calm.
This sounds so silly.
This sounds so boring.
This sounds so fun.",-85.0
"I like flowers.
I like trees.
I like birds.
I like bees.
I like to swing.
I like to slide.
I like to dig.
I like to play outside.",-5.0
"One letter.
Two letters.
Three letters.
Four letters.
Five letters.
Six letters.
Seven letters.
Seven great words!",-115.0
"Four buses.
Four wagons.
Four cars.
Four carts.
Four airplanes.
Four boats.
Four trucks.
Four vans.",1.0
"Off the bed.
Off the couch.
Off the table.
Off the chair.
Off the computer.
Off the towel.
Off the step.
Off the car.",-41.0
"The chicken.
The beak.
The feathers.
The wings.
The tail.
The legs.
The feet.
The eggs.",-32.0
"Three tigers.
Three lions.
Three bears.
Three monkeys.
Three elephants.
Three camels.
Three frogs.
Three pandas.",2.0
"The yellow bus.
The yellow light.
The yellow cab.
The yellow signs.
The yellow truck.
The yellow vest.
The yellow lines.
The yellow hat.",-59.0
"The city mouse looks.
The city mouse smells.
The city mouse climbs.
The city mouse nibbles.
The city mouse jumps.
The city mouse runs.
The city mouse hides.
That is one lucky mouse!",-13.0
"I see the clouds.
I see the rain.
I see the lightning.
I see the umbrellas.
I see the puddle.
I see the drain.
I see the rainbow.
I see the Sun.",-29.0
"Some trucks carry mail.
Some trucks carry animals.
Some trucks carry garbage.
Some trucks carry logs.
Some trucks carry cement.
Some trucks carry ice cream.
Some trucks carry cars.
Some trucks carry trucks.",-29.0
"You and I swing.
You and I slide.
You and I ride.
You and I hike.
You and I bike.
You and I run.
You and I dance.
You and I have lots of fun.",-29.0
"Two socks make one pair of socks.
Two shoes make one pair of shoes.
Two gloves make one pair of gloves.
Two skates make one pair of skates.
Two dice make one pair of dice.
Two wings make one pair of wings.
Two eyes make one pair of eyes.
Two twins make one pair of twins.",-3.0
"This button is round.
This button is square.
This button is wooden.
This button is metal.
This button is dark.
This button is shiny.
This button is small.
This button is large.",-43.0
"Carlos has one kitten.
Carlos has two kittens.
Carlos has three kittens.
Carlos has four kittens.
Carlos has five kittens.
Carlos has six kittens.
Carlos has seven kittens.
Carlos has too many kittens!",-88.0
"Some grandparents cook.
Some grandparents swim.
Some grandparents hike.
Some grandparents golf.
Some grandparents sew.
Some grandparents garden.
Some grandparents paint.
Some grandparents read.",-43.0
"I can skate fast.
I can skate slow.
I can skate forward.
I can skate backward.
I can spin.
I can jump.
I can fall.
I can have fun.",-29.0
"My dog can jump.
My dog can run.
My dog can swim.
My dog can dig.
My dog can climb.
My dog can sit.
My dog can roll over.
My dog can hug.",-19.0
"I see a circle shape.
I see a square shape.
I see a triangle shape.
I see an oval shape.
I see a star shape.
I see a spiral shape.
I see a heart shape.
I see shapes.",15.0
"The fog comes.
The clouds come.
The storm comes.
The rain comes.
The wind comes.
The sun comes.
The flowers come.
The spring comes.",-36.0
"I see flags.
I see balloons.
I see hats.
I see clowns.
I see drums.
I see horses.
I see floats.
I see the parade.",-14.0
"This is my bear.
My bear is soft.
My bear has fur.
My bear is fat.
My bear is brown.
My bear has ears.
My bear has feet.
I love my bear.",-8.0
"I hear birds.
I hear rain.
I hear wind.
I hear waves.
I hear music.
I hear cars.
I hear whispers.
I hear snores.",-39.0
"You can hop.
You can bend.
You can step.
You can prance.
You can skip.
You can leap.
You can spin.
You can dance!",-78.0
"The blue sky.
The blue helmet.
The blue bike.
The blue bottle.
The blue bench.
The blue swing.
The blue slide.
The blue playground.",-35.0
"Eight backpacks.
Eight bottles.
Eight raincoats.
Eight chairs.
Eight lights.
Eight sticks.
Eight hot dogs.
Eight friends.",6.0
"This green snake.
This green leaf.
This green moss.
This green frog.
This green bird.
This green insect.
This green lizard.
This green forest.",-45.0
"The leaf.
The apple.
The acorn.
The corn.
The pumpkin.
The rake.
The moon.
The jacket.",-24.0
"One bed.
One pillow.
One window.
One book.
One toy.
One rug.
One blanket.
One desk.",-8.0
"The ball.
The bikes.
The birds.
The flowers.
The rain.
The rainbow.
The bunny.
The spring.",-39.0
"Ten apples.
Ten strawberries.
Ten carrots.
Ten pears.
Ten beets.
Ten potatoes.
Ten tomatoes.
Ten lemons.",50.0
"The fence.
The dog.
The swing.
The ball.
The flowers.
The tree.
The hose.
The backyard.",-34.0
"Twelve aprons.
Twelve hats.
Twelve cups.
Twelve bowls.
Twelve spoons.
Twelve pans.
Twelve cookies.
Twelve plates.",-34.0
"Our drive.
Our spot.
Our tools.
Our tent.
Our fire.
Our food.
Our stories.
Our camp.",-8.0
"These pickup trucks are old.
These pickup trucks are new.
These houses are old.
These houses are new.
These bikes are old.
These bikes are new.
These teddy bears are old.
These teddy bears are new.",20.0
"This chair is too high.
This hook is too high.
This shelf is too high.
This sink is too high.
This tree is too high.
This roof is too high.
This hoop is too high.
This head is just right!",-31.0
"A tent gives cover.
A tree gives cover.
A cave gives cover.
A log gives cover.
An umbrella gives cover.
A mushroom gives cover.
A house gives cover.
Even a leaf gives cover.",-37.0
"These are winter hats.
These are winter boots.
These are winter scarves.
These are winter mittens.
These are winter pants.
These are winter coats.
These are winter sleds.
This is winter fun.",-42.0
"A car has an engine.
A car has a trunk.
A car has lights.
A car has wheels.
A car has doors.
A car has windows.
A car has seats.
A car has seat belts.",-20.0
"Fly a fish kite.
Fly a plane kite.
Fly a shark kite.
Fly a bird kite.
Fly a boat kite.
Fly a butterfly kite.
Fly a dragon kite.
Fly a rainbow kite.",19.0
"You can go on a plane.
You can go on a train.
You can go on a boat.
You can go in a car.
You can go in a bus.
You can go on a bike.
You can go on a skateboard.
You can go on a horse.",-10.0
"Make a face pumpkin.
Make a cat pumpkin.
Make a ghost pumpkin.
Make a spider pumpkin.
Make a bat pumpkin.
Make a house pumpkin.
Make a monster pumpkin.
Make Halloween pumpkins.",51.0
"Hello, big butterfly.
Hello, small butterfly.
Hello, red butterfly.
Hello, green butterfly.
Hello, striped butterfly.
Hello, spotted butterfly.
Hello, new butterfly.
Hello, butterfly!",-44.0
"I dream about space.
I dream about monkeys.
I dream about robots.
I dream about super powers.
I dream about food.
I dream about sports.
I dream about monsters.
I dream about good sleep.",-20.0
"I love violets.
I love lilies.
I love daisies.
I love sunflowers.
I love poppies.
I love roses.
I love mums.
I love flowers!",14.0
"I save a penny.
I save a nickel.
I save a dime.
I save a quarter.
I save a dollar.
I save five dollars.
I save ten dollars.
I save money.",2.0
"I get my backpack.
I get my pencils.
I get my ruler.
I get my eraser.
I get my crayons.
I get my sweater.
I get my brother.
I get my lunch.
I get my hug.
I get my ride.",-32.0
"This push is nice.
This push is not nice.
This kick is nice.
This kick is not nice.
This hit is nice.
This hit is not nice.
This pull is nice.
This pull is not nice.",2.0
"Raccoon is awake.
Raccoon is hungry.
Raccoon is smart.
Raccoon is messy.
Raccoon is sneaky.
Raccoon is full.
Raccoon is sleepy.
Raccoon is cute.",37.0
"This street is safe.
This street is not safe.
This ice is safe.
This ice is not safe.
This water is safe.
This water is not safe.
This fire is safe.
This fire is not safe.",2.0
"This insect is strong.
This insect is fast.
This insect is furry.
This insect is skinny.
This insect is shiny.
This insect is spotted.
This insect is striped.
This insect is beautiful.",-25.0
"This tastes so old.
This tastes so juicy.
This tastes so sour.
This tastes so sweet.
This tastes so bland.
This tastes so spicy.
This tastes so bitter.
This tastes so yummy.",-4.0
"Eyes go up.
Eyes go down.
Hands go up.
Hands go down.
Dog goes up.
Dog goes down.
Frog goes up.
Frog goes down.",-17.0
"He hid inside.
She hid outside.
He hid below.
She hid above.
He hid between.
She hid behind.
He hid far.
She hid near.",-3.0
"Go to the playground.
Go to the pool.
Go to the woods.
Go to the museum.
Go to the beach.
Go to the game.
Go to the parade.
Go to bed.",-65.0
"The steps.
The sidewalk.
The food.
The buildings.
The taxi.
The bus.
The people.
The street.",32.0
"My sweater.
My boots.
My hat.
My scarf.
My hat.
My sunglasses.
My hat.
My cape.
My mask.
My hat.",18.0
"The story.
The bed.
The pillow.
The bear.
The blanket.
The kiss.
The Moon.
The dream.",-34.0
"A little house.
A little dog.
A little car.
A little plane.
A little tree.
A little bug.
A little mouse.
A little baby.",-65.0
"An orange tree.
An orange leaf.
An orange pumpkin.
An orange flower.
An orange butterfly.
An orange snake.
An orange field.
An orange sunset.",-2.0
"A purple shirt.
A purple hat.
A purple flip-flop.
A purple ball.
A purple towel.
A purple backpack.
A purple bucket.
A purple ice pop.",16.0
"The water.
The sand.
The coral.
The seaweed.
The fish.
The crab.
The starfish.
The ocean.",-1.0
"The dirt.
The shovel.
The hole.
The seed.
The rain.
The sunshine.
The baby plant.
The plant.",-16.0
"This stove.
This sink.
This fridge.
This cupboard.
This counter.
This toaster.
This cookie jar.
This trash can.",44.0
"I like to study after school.
I like to play after school.
I like to dance after school.
I like to act after school.
I like to read after school.
I like to sing after school.
I like to bike after school.
We like to have fun after school.",1.0
"We have scales.
We have feathers.
We have shells.
We have spines.
We have armor.
We have fur.
We have hair.
We just have skin.",-20.0
"Gracie’s nose is very busy.
Gracie’s nose sniffs everything.
Gracie sniffs roses.
Gracie sniffs bugs.
Gracie sniffs birds.
Gracie sniffs my lunch.
Gracie sniffs my ear.
Gracie sniffs my toes!",45.0
"Apples can be healthy.
Celery can be healthy.
Nuts can be healthy.
Seeds can be healthy.
Cheese can be healthy.
Carrots can be healthy.
Cereal can be healthy.
Healthy snacks taste good!",11.0
"Many animals have legs.
These animals have two legs.
These animals have four legs.
These animals have six legs.
These animals have eight legs.
These animals have ten legs.
These animals have many legs.
How many legs do these animals have?",-4.0
"I use my brain to think.
I use my brain to see.
I use my brain to talk.
I use my brain to listen.
I use my brain to move.
I use my brain to sleep.
I use my brain to laugh.
I use my brain for everything!",28.0
"We pack grapes.
We pack sandwiches.
We pack drinks.
We pack apples.
We pack cheese.
We pack carrots.
We pack crackers.
We pack a picnic!",29.0
"Add the lettuce.
Add the onions.
Add the peppers.
Add the carrots.
Add the tomatoes.
Add the beets.
Add the cheese.
Add the dressing.",3.0
"Maria has one pumpkin.
Maria has two pumpkins.
Maria has three pumpkins.
Maria has four pumpkins.
Maria has five pumpkins.
Maria has six pumpkins.
Maria has seven pumpkins.
Maria has too many pumpkins!",-87.0
"This is my house.
This is the door.
This is the living room.
This is the kitchen.
This is the dining room.
This is the hall.
This is the bathroom.
This is my bedroom!",34.0
"I smell turkey.
I smell stuffing.
I smell rolls.
I smell yams.
I smell potatoes.
I smell gravy.
I smell pie.
I smell Thanksgiving!",19.0
"I add the brownie.
I add the ice cream.
I add the banana.
I add the hot fudge.
I add the nuts.
I add the candy.
I add the berries.
I add the spoons.",14.0
"This feels so hard.
This feels so soft.
This feels so dry.
This feels so wet.
This feels so rough.
This feels so smooth.
This feels so cold.
This feels so warm.",-35.0
"Who has it?
I have it.
You have it.
He has it.
She has it.
They have it.
We have it.
The dog has it.",-55.0
"The lights.
The meal.
The eggnog.
The tree.
The cards.
The presents.
The stockings.
The cookies.",0.0
"The dogs go.
The pigs go.
The birds go.
The cats go.
The goats go.
The cows go.
The ducks go.
The animals go.",-77.0
"A beach ball.
A baseball.
A basketball.
A football.
A tennis ball.
A golf ball.
A soccer ball.
A volleyball.",-9.0
"Seven worms.
Seven ladybugs.
Seven spiders.
Seven frogs.
Seven lizards.
Seven snakes.
Seven snails.
Seven turtles.",-5.0
"The peas.
The beans.
The melons.
The onions.
The potatoes.
The tomatoes.
The corn.
The garden.",-21.0
"The stairs.
The ticket.
The gate.
The people.
The time.
The tunnel.
The doors.
The subway.",-15.0
"We draw.
We saw.
We sand.
We hammer.
We drill.
We paint.
We glue.
We hang.",-71.0
"The pet rats eat.
The pet rats drink.
The pet rats chew.
The pet rats climb.
The pet rats hide.
The pet rats run.
The pet rats sleep.
Rats are fun class pets.",25.0
